recipe_name,total_time,servings,yield,ingredients,directions,rating,url,nutrition,timing,processed_ingredients_directions,processed_ingredients
Chilled Cantaloupe Soup,80,6,6 servings,"1  cantaloupe - peeled, seeded and cubed, 2 cups orange juice, 1 tablespoon fresh lime juice, ¼ teaspoon ground cinnamon","Peel, seed, and cube the cantaloupe.
Place cantaloupe and 1/2 cup orange juice in a blender or food processor; cover, and process until smooth. Transfer to large bowl. Stir in lime juice, cinnamon, and remaining orange juice. Cover, and refrigerate for at least one hour. Garnish with mint if desired.",3.9,https://www.allrecipes.com/recipe/12912/chilled-cantaloupe-soup/,"Total Fat 0g 0%, Saturated Fat 0g 1%, Sodium 16mg 1%, Total Carbohydrate 16g 6%, Dietary Fiber 1g 4%, Total Sugars 14g, Protein 1g, Vitamin C 76mg 380%, Calcium 19mg 1%, Iron 0mg 2%, Potassium 414mg 9%","Prep Time: 20 mins, Additional Time: 1 hrs, Total Time: 1 hrs 20 mins, Servings: 6, Yield: 6 servings",seed garnish    cinnamon desire cantaloupe stir large cover orange teaspoon place refrigerate cube food ground   blender juice remain cantaloupe lime seed hour processor tablespoon   juice cup fresh   cinnamon smooth bowl peel transfer peel cup process mint   cube juice,cantaloupe peel seed cube cup orange juice tablespoon fresh lime teaspoon ground cinnamon
Watermelon and Blue Cheese Salad,20,12,12 servings,"½ cup light olive oil, ¼ cup white balsamic vinegar,   salt and ground black pepper to taste, 5 pounds watermelon, cut into bite-size cubes, 1 small sweet onion (such as Vidalia®), thinly sliced, 2 tablespoons chopped fresh mint, or more to taste, 6 ounces crumbled blue cheese","Whisk olive oil, vinegar, salt, and pepper together in a bowl until smooth.
Mix watermelon, onion, and mint together in a separate bowl. Drizzle dressing over watermelon mixture and add blue cheese; toss well.",4.8,https://www.allrecipes.com/recipe/238093/watermelon-and-blue-cheese-salad/,"Total Fat 13g 17%, Saturated Fat 4g 20%, Cholesterol 11mg 4%, Sodium 201mg 9%, Total Carbohydrate 16g 6%, Dietary Fiber 1g 3%, Total Sugars 13g, Protein 4g, Vitamin C 16mg 80%, Calcium 92mg 7%, Iron 1mg 3%, Potassium 261mg 6%","Prep Time: 20 mins, Total Time: 20 mins, Servings: 12, Yield: 12 servings",pound balsamic cheese    mixture cheese dress watermelon olive mint salt salt white cube sweet toss taste    crumble onion drizzle blue pepper ground   add separate   vidalia   ounce thinly vinegar bitesize bowl cut   black   cup watermelon fresh light smooth chop onion bowl slice oil whisk small tablespoon mix mint,cup light olive oil white balsamic vinegar salt ground black pepper taste pound watermelon cut bitesize cube small sweet onion vidalia thinly slice tablespoon chop fresh mint ounce crumble blue cheese
Watermelon Fire and Ice Salsa,15,32,4 cups,"3 cups chopped watermelon, ½ cup chopped green bell pepper, 2 tablespoons lime juice, 2 tablespoons chopped fresh cilantro, 1 tablespoon chopped green onions, 1 tablespoon chopped jalapeno pepper, ½ teaspoon garlic salt","In a large bowl, combine the watermelon, green bell pepper, lime juice, cilantro, green onions, jalapeno and garlic salt. Mix well and serve.",4.6,https://www.allrecipes.com/recipe/20846/watermelon-fire-and-ice-salsa/,"Sodium 29mg 1%, Total Carbohydrate 1g 0%, Dietary Fiber 0g 0%, Total Sugars 1g, Protein 0g, Vitamin C 4mg 18%, Calcium 2mg 0%, Iron 0mg 1%, Potassium 23mg 0%","Prep Time: 15 mins, Total Time: 15 mins, Servings: 32, Yield: 4 cups",  combine salt large serve jalapeno green    onion teaspoon bell   pepper lime bowl tablespoon cilantro   cup watermelon fresh chop cup garlic salt tablespoon mix juice,cup chop watermelon green bell pepper tablespoon lime juice fresh cilantro onion jalapeno teaspoon garlic salt
Chef John's Watermelon Agua Fresca,50,6,1 2-quart pitcher,"½  seedless watermelon, 2 cups cold water, ½ cup white sugar, or to taste, ½ cup water","Scoop flesh from watermelon half and transfer watermelon to a blender. Add 2 cups cold water. Place a folded towel on blender lid and blend until liquefied, about 1 minute. Strain through a fine mesh strainer into a large bowl to remove fibers. Discard fibers left in strainer. Skim and discard excess foam from juice if desired.
Place sugar and 1/2 cup water into a saucepan over medium heat and stir until water is hot and sugar has dissolved. Turn off heat and let simple syrup cool to room temperature. Stir simple syrup into watermelon juice to taste.
Pour drink into a 2-quart pitcher and refrigerate until cold, at least 30 minutes. To serve, fill tall glasses with ice cubes and pour agua fresca drink over ice. Serve with straws.











""So refreshing!"".
Doughgirl8
",4.5,https://www.allrecipes.com/recipe/233795/chef-johns-watermelon-agua-fresca/,"Total Fat 1g 1%, Saturated Fat 0g 1%, Sodium 7mg 0%, Total Carbohydrate 45g 16%, Dietary Fiber 2g 5%, Total Sugars 40g, Protein 2g, Vitamin C 30mg 152%, Calcium 29mg 2%, Iron 1mg 5%, Potassium 421mg 9%","Prep Time: 10 mins, Additional Time: 40 mins, Total Time: 50 mins, Servings: 6, Yield: 1 2-quart pitcher",straw mesh medium cube fold white minute    skim   serve half water place serve turn add strainer fiber syrup quart fill fiber cup lid doughgirl saucepan desire strain refresh refrigerate ice sugar blend fine hot bowl cup watermelon transfer let seedless   taste water heat stir glass cool pour simple flesh left   cold strainer towel scoop pitcher water liquefy fresca ice sugar minute discard agua watermelon temperature large cold taste tall foam drink blender juice   dissolve room blender remove excess,seedless watermelon cup cold water white sugar taste
Green Gazpacho,55,2,missing,"2 cups diced honeydew melon, 1  English (seedless) cucumber, peeled and diced, 1 small onion, diced, 1  avocado - peeled, pitted, and chopped, 1  jalapeno pepper, seeded and coarsely chopped, 1 clove garlic, chopped, ¼ cup white balsamic vinegar, 1 tablespoon lime juice,   salt and freshly ground black pepper to taste","Blend honeydew melon, cucumber, onion, avocado, jalapeño pepper, garlic, white balsamic vinegar, lime juice, salt, and black pepper in a blender until smooth. Adjust seasonings if desired and chill before serving.",4.8,https://www.allrecipes.com/recipe/223507/green-gazpacho/,"Total Fat 15g 19%, Saturated Fat 2g 11%, Sodium 47mg 2%, Total Carbohydrate 36g 13%, Dietary Fiber 10g 37%, Total Sugars 22g, Protein 5g, Vitamin C 56mg 281%, Calcium 44mg 3%, Iron 1mg 7%, Potassium 980mg 21%","Prep Time: 25 mins, Additional Time: 30 mins, Total Time: 55 mins, Servings: 2",seed seasoning avocado english chop balsamic seedless    clove adjust salt honeydew salt white jalapeno freshly pepper ground   blender jalape o coarsely blend pepper lime chill garlic avocado peel vinegar cucumber tablespoon dice melon   black cup taste desire   onion smooth peel cup serve pit small dice juice,cup dice honeydew melon english seedless cucumber peel small onion avocado pit chop jalapeno pepper seed coarsely clove garlic white balsamic vinegar tablespoon lime juice salt freshly ground black taste
Mojito Fruit Salad,80,6,6 servings,"1 cup cubed seeded watermelon, 1 cup seedless grapes , 1 cup cubed cantaloupe, 1 cup hulled and quartered strawberries, 1 cup peeled and quartered kiwi, 1 cup fresh blueberries, 3 sprigs fresh mint, 2 teaspoons white sugar, 3 tablespoons fresh lime juice","Mix the watermelon, grapes, cantaloupe, strawberries, and kiwi in a bowl with a tight-fitting lid; top with the blueberries.
Stir the mint, sugar, and lime juice together in a bowl, crushing the mint with the back of a spoon while mixing to extract flavors; pour over the fruit mixture. Seal the bowl with lid and refrigerate at least 1 hour.
Just before serving, gently flip the sealed bowl several times to coat the fruit with the dressing.",4.7,https://www.allrecipes.com/recipe/215576/mojito-fruit-salad/,"Total Fat 1g 1%, Saturated Fat 0g 1%, Sodium 7mg 0%, Total Carbohydrate 21g 8%, Dietary Fiber 3g 9%, Total Sugars 16g, Protein 1g, Vitamin C 63mg 313%, Calcium 27mg 2%, Iron 1mg 3%, Potassium 310mg 7%","Prep Time: 20 mins, Additional Time: 1 hrs, Total Time: 1 hrs 20 mins, Servings: 6, Yield: 6 servings",seed mix hour seal stir mint   cantaloupe teaspoon strawberry white pour lid refrigerate grape flavor   sprig seal blueberry quarter   juice cube serve kiwi flip sugar lime kiwi times spoon hull peel bowl bowl crush blueberry fruit   cup tightfitte watermelon fresh extract grape dress lid gently tablespoons mixture mix mint seedless coat,cup cube seed watermelon seedless grape cantaloupe hull quarter strawberry peel kiwi fresh blueberry sprig mint teaspoon white sugar tablespoon lime juice
Watermelon Juice,5,4,4 cups,"2 cups diced seedless watermelon, 2 cups water, 1 tablespoon white sugar, or more to taste","Blend watermelon, water, and sugar in a blender until smooth.",4.1,https://www.allrecipes.com/recipe/228280/watermelon-juice/,"Total Fat 0g 0%, Sodium 4mg 0%, Total Carbohydrate 9g 3%, Dietary Fiber 0g 1%, Total Sugars 8g, Protein 1g, Vitamin C 6mg 31%, Calcium 9mg 1%, Iron 0mg 1%, Potassium 86mg 2%","Prep Time: 5 mins, Total Time: 5 mins, Servings: 4, Yield: 4 cups",water white sugar   blender blend seedless tablespoon dice taste   watermelon smooth cup sugar,cup dice seedless watermelon water tablespoon white sugar taste
Watermelon Gin and Tonic,5,1,1 cocktail,"¼  lime, juiced, ¼ cup chopped seedless watermelon, ½ cup ice, or as needed, 2 tablespoons gin, or to taste, 2 cups tonic water",Squeeze lime into cocktail glass and drop lime wedge into the juice; add watermelon and enough ice to fill glass to top. Pour gin and tonic water over the watermelon and ice; stir.,3.0,https://www.allrecipes.com/recipe/237801/watermelon-gin-and-tonic/,"Total Fat 0g 0%, Sodium 58mg 3%, Total Carbohydrate 45g 16%, Dietary Fiber 0g 1%, Total Sugars 44g, Protein 0g, Vitamin C 6mg 30%, Calcium 9mg 1%, Iron 0mg 1%, Potassium 54mg 1%","Prep Time: 5 mins, Total Time: 5 mins, Servings: 1, Yield: 1 cocktail",stir    gin watermelon gin ice glass pour taste    tonic squeeze wedge lime add   drop lime cocktail ice fill cup watermelon juice chop cup water juice ice need tablespoon seedless,lime juice cup chop seedless watermelon ice need tablespoon gin taste tonic water
Easy Watermelon Martini,10,1,1 martini,"1 slice watermelon, rind removed, ½ cup ice cubes, or as needed, 1 (1.5 fluid ounce) jigger vodka",Place watermelon in a cocktail shaker and crush with a muddler; add ice cubes and vodka. Cover shaker and shake well. Strain cocktail into a martini glass.,4.4,https://www.allrecipes.com/recipe/234333/easy-watermelon-martini/,"Total Fat 0g 1%, Sodium 3mg 0%, Total Carbohydrate 22g 8%, Dietary Fiber 1g 4%, Total Sugars 18g, Protein 2g, Vitamin C 23mg 116%, Calcium 20mg 2%, Iron 1mg 4%, Potassium 321mg 7%","Prep Time: 10 mins, Total Time: 10 mins, Servings: 1, Yield: 1 martini",cover muddler watermelon strain slice ounce cube rind cube glass    shake place add crush shaker martini vodka cocktail   remove   cup watermelon fluid jigger vodka ice need,slice watermelon rind remove cup ice cube need fluid ounce jigger vodka
Lemon Drop Shots,10,1,1 serving,"¾ fluid ounce vodka (such as Absolut®), ¾ fluid ounce lemon juice, 2 ½ teaspoons white sugar, divided, or more to taste, 1  lemon, cut into wedges","Combine vodka and lemon juice in a shot glass. Sprinkle 1/2 teaspoon sugar on top.
Place remaining 2 teaspoons sugar on a small plate; dip lemon wedges in sugar. Suck on a sugared lemon after drinking the shot.









",4.7,https://www.allrecipes.com/recipe/256748/lemon-drop-shots/,"Total Fat 0g 0%, Sodium 4mg 0%, Total Carbohydrate 24g 9%, Dietary Fiber 5g 19%, Total Sugars 11g, Protein 1g, Vitamin C 94mg 469%, Calcium 68mg 5%, Iron 1mg 4%, Potassium 185mg 4%","Prep Time: 10 mins, Total Time: 10 mins, Servings: 1, Yield: 1 serving",combine teaspoon white wedge glass suck dip taste    teaspoon sugar place drink ounce sugar   juice absolut    remain lemon plate shoot cut   divide    fluid sugar lemon vodka small shot sugar sprinkle juice,fluid ounce vodka absolut lemon juice teaspoon white sugar divide taste cut wedge
Perfect Summer Fruit Salad,210,10,missing,"⅔ cup fresh orange juice, ⅓ cup fresh lemon juice, ⅓ cup packed brown sugar, ½ teaspoon grated orange zest, ½ teaspoon grated lemon zest, 1 teaspoon vanilla extract","For the sauce: Bring orange juice, lemon juice, brown sugar, orange zest, and lemon zest to a boil in a saucepan over medium-high heat. Reduce heat to medium-low and simmer until slightly thickened, about 5 minutes. Remove from heat and stir in vanilla extract. Set aside to cool.
For the salad: Layer fruit in a large, clear glass bowl in this order: pineapple, strawberries, kiwi fruit, bananas, oranges, grapes, and blueberries. Pour cooled sauce over fruit; cover and refrigerate for 3 to 4 hours before serving.









",4.6,https://www.allrecipes.com/recipe/214947/perfect-summer-fruit-salad/,"Total Fat 1g 1%, Saturated Fat 0g 1%, Sodium 5mg 0%, Total Carbohydrate 39g 14%, Dietary Fiber 5g 16%, Total Sugars 29g, Protein 2g, Vitamin C 94mg 471%, Calcium 45mg 3%, Iron 1mg 3%, Potassium 451mg 10%","Prep Time: 25 mins, Cook Time: 5 mins, Additional Time: 3 hrs, Total Time: 3 hrs 30 mins, Servings: 10",cover boil minute slightly heat layer banana pineapple stir   z heat blueberry strawberry glass order large pour orange    teaspoon fruit hour z clear refrigerate cool mediumlow reduce fruit set fruit thicken salad lemon kiwi   bowl    aside brown vanilla mediumhigh     cup extract fresh   extract cool sauce grape serve orange bring saucepan remove pack grated sugar sauce simmer juice,cup fresh orange juice lemon pack brown sugar teaspoon grate z vanilla extract
Perfect Lemon Curd,15,12,missing,"¾ cup fresh lemon juice, ¾ cup white sugar, ½ cup unsalted butter, cubed, 3 large eggs, 1 tablespoon grated lemon zest","Combine lemon juice, sugar, butter, eggs, and lemon zest in a 2-quart saucepan.
Cook over medium-low heat, whisking constantly, until mixture thickens and bubbles, about 5 to 6 minutes.









",4.6,https://www.allrecipes.com/recipe/53683/perfect-lemon-curd/,"Total Fat 9g 11%, Saturated Fat 5g 26%, Cholesterol 67mg 22%, Sodium 19mg 1%, Total Carbohydrate 14g 5%, Dietary Fiber 0g 0%, Total Sugars 13g, Protein 2g, Vitamin C 8mg 39%, Calcium 11mg 1%, Iron 0mg 1%, Potassium 39mg 1%","Prep Time: 10 mins, Cook Time: 5 mins, Total Time: 15 mins, Servings: 12",bubble mixture   combine large white saucepan    heat zest   cook mediumlow whisk constantly quart lemon thickens unsalted butter tablespoon      cup fresh egg grate sugar cube minute juice,cup fresh lemon juice white sugar unsalted butter cube large egg tablespoon grate z
Tom Collins Cocktail,5,1,missing,"2 ½ cups ice, divided, 2 fluid ounces gin, ¾ fluid ounce lemon juice, ½ fluid ounce simple syrup, 2 fluid ounces club soda, 1  lemon wedge","Fill a Collins glass with 1 1/2 cups ice; set aside in the freezer.
Combine gin, lemon juice, and simple syrup in a cocktail shaker. Add 1 cup ice, cover, and shake until chilled.
Strain into the chilled Collins glass. Top with club soda and garnish with lemon wedge.











lutzflcat
",4.9,https://www.allrecipes.com/recipe/222511/tom-collins-cocktail/,"Sodium 4mg 0%, Total Carbohydrate 13g 5%, Dietary Fiber 1g 3%, Total Sugars 1g, Protein 0g, Vitamin C 21mg 105%, Calcium 12mg 1%, Iron 0mg 1%, Potassium 49mg 1%","Prep Time: 5 mins, Total Time: 5 mins, Servings: 1",chilled garnish gin strain combine ice cover glass glass freezer    shake shaker wedge simple wedge club ounce soda add   soda ounce syrup lemon ice cocktail aside fill     divide cup lutzflcat syrup fluid cup collin set   chill juice,cup ice divide fluid ounce gin lemon juice simple syrup club soda wedge
Cornish Game Hens with Garlic and Rosemary,80,4,4 hens,"4  Cornish game hens, 3 tablespoons olive oil, divided,   salt and pepper to taste, 1  lemon, quartered, 8 sprigs fresh rosemary, divided, 24 cloves garlic, ⅓ cup white wine, ⅓ cup low-sodium chicken broth","Preheat the oven to 450 degrees F (230 degrees C). Rub hens with 1 tablespoon olive oil; lightly season with salt and pepper. Stuff 1 lemon quarter and 1 rosemary sprig into each cavity. Place hens in a large, heavy roasting pan and arrange garlic cloves around them.
Roast in the preheated oven for 25 minutes. Meanwhile, whisk wine, chicken broth, and remaining 2 tablespoons olive oil together in a small bowl.
Remove hens from the oven; reduce the oven temperature to 350 degrees F (175 degrees C). Pour wine mixture over the hens and continue roasting, basting with pan juices every 10 minutes, until hens are golden brown and juices run clear, about 25 more minutes. An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C).
Transfer hens to a platter, pouring any cavity juices into the roasting pan; discard lemons and rosemary. Tent hens with aluminum foil to keep warm.
Transfer pan juices and garlic cloves to a medium saucepan; boil until reduced to a sauce consistency, about 6 minutes.
Cut hens in half lengthwise and arrange two halves on each plate. Spoon sauce and roasted garlic on top. Garnish with remaining rosemary sprigs and serve.











lc206
",4.5,https://www.allrecipes.com/recipe/8938/cornish-game-hens-with-garlic-and-rosemary/,"Total Fat 58g 74%, Saturated Fat 15g 73%, Cholesterol 340mg 113%, Sodium 1383mg 60%, Total Carbohydrate 10g 4%, Dietary Fiber 2g 6%, Total Sugars 0g, Protein 59g, Vitamin C 28mg 142%, Calcium 93mg 7%, Iron 3mg 18%, Potassium 929mg 20%","Prep Time: 20 mins, Cook Time: 1 hrs, Total Time: 1 hrs 20 mins, Servings: 4, Yield: 4 hens",platter boil mixture baste olive medium   lengthwise salt white rosemary game rosemary run place cavity preheat sprig warm garlic spoon c thermometer brown cut    pour fresh roasting pan hen small consistency continue plate minute tent f degree large cavity lemon roast   golden arrange oven remain    instantread tablespoon cornish season cup oil transfer lc   garlic lightly whisk   juice   sauce half garnish saucepan clear serve pour stuff oven reduced oil   pepper aluminum chicken quarter lemon broth pan   wine divide bone heavy lowsodium minute   rub wine   discard read sprig roasting   taste preheat     broth clove pepper roasted quarter reduce rosemary near   bowl temperature lemon hen oil remove tablespoon insert foil,cornish game hen tablespoon olive oil divide salt pepper taste lemon quarter sprig fresh rosemary clove garlic cup white wine lowsodium chicken broth
Easy Garlic-Lemon Scallops,15,6,missing,"¾ cup butter, 3 tablespoons minced garlic, 2 pounds large sea scallops, 2 tablespoons fresh lemon juice, 1 teaspoon salt, ⅛ teaspoon pepper","Melt butter in a large skillet over medium heat. Stir in garlic and cook for a few seconds until fragrant.
Arrange scallops in a single layer in the skillet; cook until golden brown on one side, about 2 minutes. Turn scallops over using tongs and continue cooking until firm and opaque, about 2 minutes more. Transfer scallops to a platter, reserving butter in the skillet.
Whisk lemon juice, salt, and pepper into butter; pour sauce over scallops to serve.











David West
",4.6,https://www.allrecipes.com/recipe/132358/easy-garlic-lemon-scallops/,"Total Fat 24g 31%, Saturated Fat 15g 73%, Cholesterol 152mg 51%, Sodium 988mg 43%, Total Carbohydrate 9g 3%, Dietary Fiber 0g 0%, Total Sugars 0g, Protein 39g, Vitamin C 4mg 18%, Calcium 72mg 6%, Iron 4mg 20%, Potassium 635mg 14%","Prep Time: 10 mins, Cook Time: 5 mins, Total Time: 15 mins, Servings: 6",david cooking butter pound platter single scallop layer stir medium   salt heat    large serve skillet teaspoon tong pour skillet golden minute turn pepper second cook   firm scallop arrange reserve lemon garlic butter butter brown   west    cup fresh fragrant sea mince transfer melt garlic whisk skillet tablespoon opaque continue minute sauce juice,cup butter tablespoon mince garlic pound large sea scallop fresh lemon juice teaspoon salt pepper
Greek-Style Lemon Roasted Potatoes,75,6,missing,"3 pounds potatoes, peeled and cut into thick wedges, ⅓ cup olive oil, 2  lemons, juiced, 2 teaspoons salt, 1 teaspoon oregano, ½ teaspoon ground black pepper, 3 cups chicken broth","Preheat the oven to 400 degrees F (200 degrees C).
Put potato wedges in a large bowl. Drizzle with olive oil and lemon juice and toss to coat. Season with salt, oregano, and black pepper; toss again to coat.
Spread potato wedges in a single layer in a 2-inch-deep pan. Pour chicken broth over potatoes.
Roast potatoes in the preheated oven until tender and golden brown, about 1 hour.









",4.7,https://www.allrecipes.com/recipe/239180/greek-style-lemon-roasted-potatoes/,"Total Fat 12g 16%, Saturated Fat 2g 9%, Sodium 789mg 34%, Total Carbohydrate 40g 15%, Dietary Fiber 5g 18%, Total Sugars 2g, Protein 5g, Vitamin C 45mg 225%, Calcium 33mg 3%, Iron 2mg 11%, Potassium 962mg 20%","Prep Time: 15 mins, Cook Time: 1 hrs, Total Time: 1 hrs 15 mins, Servings: 6",pound single potato wedge layer tender brown olive   salt f teaspoon large wedge degree toss spread teaspoon    pour preheat oven roast drizzle golden lemon preheat potato ground thick oil   juice oregano chicken   pepper lemon coat broth peel pepper pan cut c season hour black     cup   juiced bowl potato cup oil inchdeep potato,pound potato peel cut thick wedge cup olive oil lemon juice teaspoon salt oregano ground black pepper cups chicken broth
Old-Fashioned Lemonade,10,6,missing,"6  lemons, 1 cup white sugar, 6 cups water, or more as needed","Juice lemons; you should have 1 cup juice.
Combine juice, sugar, and water in a 1/2-gallon pitcher. Stir until sugar dissolves. Taste and add more water if desired.
Chill and serve over ice.











DOTDASH MEREDITH FOOD STUDIOS
",4.8,https://www.allrecipes.com/recipe/20487/old-fashioned-lemonade/,"Total Fat 0g 0%, Sodium 3mg 0%, Total Carbohydrate 45g 16%, Dietary Fiber 5g 18%, Total Sugars 33g, Protein 1g, Vitamin C 83mg 416%, Calcium 66mg 5%, Iron 1mg 4%, Potassium 157mg 3%","Prep Time: 10 mins, Total Time: 10 mins, Servings: 6",water dotdash desire stir combine meredith white lemon serve lemon add ice food sugar juice need chill taste   juice cup studios cups water dissolve gallon   pitcher sugar juice,lemon cup white sugar water need
Easy Lemon-Pepper Chicken Wings,20,4,12 chicken wings,"2 cups oil, or as needed, 2 tablespoons extra-virgin olive oil, 1 tablespoon lemon-pepper seasoning, 12  chicken wings","Heat oil in a deep-fryer or large saucepan to 375 degrees F (190 degrees C).
Stir olive oil and lemon-pepper together in a bowl.
Fry wings in hot oil until no longer pink at the bone and the juices run clear, about 8 minutes; an instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C).
Toss hot wings with lemon-pepper mixture to coat.









",4.7,https://www.allrecipes.com/recipe/236418/easy-lemon-pepper-chicken-wings/,"Total Fat 123g 158%, Saturated Fat 17g 85%, Cholesterol 58mg 19%, Sodium 409mg 18%, Total Carbohydrate 0g 0%, Dietary Fiber 0g 0%, Total Sugars 0g, Protein 21g, Calcium 12mg 1%, Iron 1mg 5%, Potassium 148mg 3%","Prep Time: 10 mins, Cook Time: 10 mins, Total Time: 20 mins, Servings: 4, Yield: 12 chicken wings",long mixture read heat clear olive stir large f degree toss run   season   lemonpepper oil   chicken pink   hot coat extravirgin minute c deepfryer tablespoon wing   instantread thermometer bone near juice bowl   fry cups oil   saucepan need tablespoon insert,cup oil need tablespoons extravirgin olive tablespoon lemonpepper season chicken wing
Famous Chicken Française,35,6,missing,"1 large egg, beaten, 1 ½ medium lemons, juiced, divided, 1 cup all-purpose flour, 1 pinch garlic powder, 1 pinch paprika, 6  skinless, boneless chicken breast halves, 2 tablespoons butter, 1 (14.5 ounce) can chicken broth, 6 slices  lemon, for garnish, 2 sprigs fresh parsley, for garnish","Mix together egg and 1/3 of the lemon juice in a shallow dish or bowl. Mix together flour, garlic powder, and paprika in another shallow dish or bowl.
Dip chicken breasts in egg mixture, then flour mixture to coat.
Heat butter in a large skillet over medium heat. Add chicken breasts and cook until golden, 2 to 3 minutes per side.
Mix together broth and remaining lemon juice in a medium bowl; pour over chicken in the skillet. Reduce heat to medium-low and let simmer until an instant-read thermometer inserted into the center reads at least 165 degrees F (74 degrees C), about 8 minutes.
Place chicken on a serving platter. Cover with lemon sauce and garnish with fresh lemon slices and parsley sprigs.









",4.3,https://www.allrecipes.com/recipe/15181/famous-chicken-francaise/,"Total Fat 7g 9%, Saturated Fat 3g 16%, Cholesterol 111mg 37%, Sodium 413mg 18%, Total Carbohydrate 21g 8%, Dietary Fiber 3g 10%, Total Sugars 1g, Protein 32g, Vitamin C 45mg 226%, Calcium 60mg 5%, Iron 3mg 16%, Potassium 452mg 10%","Prep Time: 20 mins, Cook Time: 15 mins, Total Time: 35 mins, Servings: 6",butter mixture medium   ounce shallow    c place add sprig cook garnish coat platter butter thermometer sprig fresh beat egg flour simmer boneless slice   skinless mixture f degree dip parsley powder lemon serve breast mediumlow allpurpose remain   instantread cup garlic golden skillet half   read let sauce center cover garnish heat parsley heat paprika pour paprika breast   chicken lemon broth divide egg minute   flour large skillet bowl   minute   broth pinch reduce juice dish   juice bowl lemon tablespoon insert mix,large egg beat medium lemon juice divide cup allpurpose flour pinch garlic powder paprika skinless boneless chicken breast half tablespoon butter ounce broth slice garnish sprig fresh parsley
Lemon Icing,5,12,2 cups,"½ cup unsalted butter, at room temperature, 2 tablespoons lemon juice, ½ teaspoon vanilla extract, 3 cups confectioners' sugar","Combine butter, lemon juice, vanilla, and confectioners' sugar in a large mixing bowl and beat until light and fluffy. Add more confectioners' sugar, or lemon juice to adjust the consistency as needed.",4.5,https://www.allrecipes.com/recipe/7770/lemon-icing/,"Total Fat 8g 10%, Saturated Fat 5g 25%, Cholesterol 20mg 7%, Sodium 55mg 2%, Total Carbohydrate 32g 11%, Total Sugars 31g, Protein 0g, Vitamin C 1mg 6%, Calcium 3mg 0%, Potassium 6mg 0%","Prep Time: 5 mins, Total Time: 5 mins, Servings: 12, Yield: 2 cups",mix adjust extract   combine large    teaspoon beat add need sugar   juice temperature lemon fluffy confectioner unsalte bowl butter consistency cup light room cup vanilla tablespoon vanilla sugar juice,cup unsalted butter room temperature tablespoon lemon juice teaspoon vanilla extract confectioner sugar
The Best Lemon Vinaigrette,10,8,1 cup,"¼ cup red wine vinegar, 2 tablespoons Dijon mustard, 1 clove garlic, minced, 1 teaspoon dried oregano, ½ teaspoon kosher salt, ¼ teaspoon ground black pepper, ½ cup olive oil, 2 tablespoons fresh lemon juice","Whisk red wine vinegar, Dijon mustard, garlic, oregano, salt, and pepper together in a small bowl. Slowly stream olive oil into vinegar mixture, whisking continuously, until well combined. Add lemon juice and whisk to combine.
Pour vinaigrette into a screw-top jar or bottle; seal. Shake before serving.",4.7,https://www.allrecipes.com/recipe/236780/the-best-lemon-vinaigrette/,"Total Fat 14g 17%, Saturated Fat 2g 10%, Sodium 214mg 9%, Total Carbohydrate 2g 1%, Dietary Fiber 0g 0%, Total Sugars 0g, Protein 0g, Vitamin C 2mg 10%, Calcium 4mg 0%, Iron 0mg 1%, Potassium 18mg 0%","Prep Time: 10 mins, Total Time: 10 mins, Servings: 8, Yield: 1 cup",mince wine bottle    clove olive combine salt mixture screwtop pour continuously teaspoon    seal dry shake add pepper ground oil combine stream whisk   juice oregano kosher red pepper lemon garlic vinegar black   cup fresh dijon bowl jar serve oil whisk slowly tablespoon small vinaigrette mustard vinegar,cup red wine vinegar tablespoon dijon mustard clove garlic mince teaspoon dry oregano kosher salt ground black pepper olive oil fresh lemon juice
